GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
todo-app,com.todoapp.security,UserDetailsServiceImpl,0,26,0,0,0,6,0,3,0,3
todo-app,com.todoapp.security,UserDetailsImpl,0,41,0,2,0,13,0,10,0,9
todo-app,com.todoapp.util,JwtUtil,0,103,1,3,0,24,1,11,0,10
todo-app,com.todoapp.service,TodoService,0,138,0,6,0,28,0,17,0,14
todo-app,com.todoapp.service,UserService,0,59,0,0,0,14,0,9,0,9
todo-app,com.todoapp.service,AuthService,0,130,0,4,0,30,0,5,0,3
todo-app,com.todoapp.dto,RegisterRequest,0,24,0,0,0,7,0,7,0,7
todo-app,com.todoapp.dto,AuthRequest,0,17,0,0,0,5,0,5,0,5
todo-app,com.todoapp.dto,AuthResponse,0,36,0,0,0,12,0,8,0,8
todo-app,com.todoapp.controller,UserController,0,81,0,0,0,20,0,11,0,11
todo-app,com.todoapp.controller,HomeController,0,5,0,0,0,2,0,2,0,2
todo-app,com.todoapp.controller,TodoController,0,69,0,0,0,17,0,10,0,10
todo-app,com.todoapp.controller,FrontendController,0,5,0,0,0,2,0,2,0,2
todo-app,com.todoapp.controller,AuthController,0,18,0,0,0,5,0,3,0,3
todo-app,com.todoapp.entity,User,2,114,2,12,0,20,2,19,0,14
todo-app,com.todoapp.entity,Todo,2,151,2,16,0,25,2,23,0,16
todo-app,com.todoapp.entity,BaseEntity,2,94,2,10,0,15,2,14,0,10
todo-app,com.todoapp.entity,TodoStatus,0,21,0,0,0,4,0,1,0,1
todo-app,com.todoapp,TodoApplication,5,3,0,0,2,1,1,1,1,1
todo-app,com.todoapp.config,JpaConfig,0,3,0,0,0,1,0,1,0,1
todo-app,com.todoapp.config,WebConfig,0,40,0,0,0,4,0,2,0,2
todo-app,com.todoapp.config,SecurityConfig,0,234,0,0,0,26,0,13,0,13
todo-app,com.todoapp.exception,ResourceConflictException,0,4,0,0,0,2,0,1,0,1
todo-app,com.todoapp.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
todo-app,com.todoapp.exception,AuthErrorResponse,0,13,0,0,0,5,0,3,0,3
todo-app,com.todoapp.exception,AuthExceptionHandler,0,21,0,0,0,7,0,3,0,3
todo-app,com.todoapp.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
